y=9, x=79, y_max=40, x_max=172
y=6, x=48, y_max=40, x_max=172
y=9, x=79, y_max=40, x_max=172
y=3, x=73, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
y=34, x=101, y_max=40, x_max=172
